大事	だいじ, おおごと	important; valuable; serious matter
余裕	よゆう	surplus; room; leeway
作家	さっか	author; writer; novelist; artist
警察官	けいさつかん	police officer
消防士	しょうぼうし	firefighter
将来	しょうらい	future; in the future
世界	せかい	world
予報	よほう	forecast; prediction
天気予報	てんきよほう	weather forecast
秒	びょう	second (interval of time)
漫画	まんが	manga; comics
和食	わしょく	Japanese-style food
例えば	たとえば	for example
殆ど	ほとんど	mostly; nearly; practically; almost
週末	しゅうまつ	weekend
今週末	こんしゅうまつ	this weekend
平日	へいじつ	weekday; ordinary days (i.e. non-holiday)
失礼	しつれい	discourtesy; impoliteness; to be rude; to leave; Excuse me; Goodbye
御苦労	ごくろう	trouble (I have put you through)
御苦労様	ごくろうさま	thank you very much for your..., I appreciate your efforts
僕	ぼく	I (generally male)
迎え	むかえ	greeting; meeting
迎える	むかえる	to welcome; to greet; to go out to meet
生活	せいかつ	life; living
お風呂	おふろ	bath
予約	よやく	reservation; appointment
説明	せつめい	explanation; description
規則	きそく	rules; regulations
女性	じょせい	woman; female
男性	だんせい	male; man
別	べつ	another; different
別々	べつべつ	separately
職員室	しょくいんしつ	staff room
選ぶ	えらぶ	choose; elect
決める	きめる	to decide; to choose; to make up one's mind; to agree upon
門限	もんげん	closing time; lockup; curfew
探す	さがす	search for; look for
残念	ざんねん	regret; bad luck; disappointment
転勤	てんきん	job transfer
見つける	みつける	to find (by looking); to discover; to locate; to come across; to detect; to spot
行う	おこなう	do; carry out
赤ちゃん	あかちゃん	baby, infant
どうやら	どうやら	it seems like; it appears that; somehow or another
思える	おもえる	to seem; to appear likely
持てる	もてる	be popular (with)
受ける	うける	to receive; to get; to catch (e.g. a ball); to be struck by (wind, waves, sunlight, etc.); to take (a test, an interview); to accept
突然	とつぜん	abruptly; suddenly
営業	えいぎょう	business; sales
部長	ぶちょう	section chief; department head
教科書	きょうかしょ	textbook; schoolbook
動詞	どうし	verb
削る	けずる	grind down; trim; scale back
進む	すすむ	to advance; move forward
客	きゃく	visitor; customer
お客様	おきゃくさま	customer; guest
追加	ついか	addition; supplement; append
謙遜	けんそん	humility; modesty
会議	かいぎ	conference; meeting
会議室	かいぎしつ	meeting room; conference room
出席	しゅっせき	attendance; presence
連絡	れんらく	connection; communication
考える	かんがえる	to consider; to think about
記事	きじ	article; story
完璧	かんぺき	perfection; perfect
解釈	かいしゃく	interpretation; explanation
届く	とどく	to reach; to be received
銀河	ぎんが	Milky Way; galaxy
学ぶ	まなぶ	to learn; to study
心温まる	こころあたたまる	to be heart-warming
梅雨	つゆ,ばいう	rainy season
最悪	さいあく	the worst
蝶	ちょう	butterfly
国内	こくない	domestic; internal
気持ち	きもち	feeling; sensation; mood<br/>preparedness; readiness; attitude<br/>thanks; solicitude; sympathy<br/>just a little; somewhat; slightly
値段	ねだん	price
半ば	なかば	middle; halfway
最善	さいぜん	the very best
最高	さいこう	maximum; supreme
梅雨明け	つゆあけ	end of the rainy season
梅雨入り	つゆいり	start of the rainy season
落ちる	おちる	to fall; to drop; to fail (e.g. exam)
行	ぎょう	line (i.e. text); row
空ける	あける	empty; clear out
内	うち	inside
手伝う	てつだう	help; assist
送る	おくる	to send (a thing); to dispatch; to escort (a person somewhere); to see off; to bid farewell
列	れつ	row; line
電気屋	でんきや	electric appliance store
急	きゅう	urgent; dire; pressing
是非	ぜひ	by all means; at any cost
是非共	ぜひとも	by all means (with sense of not taking "no" for an answer)
平気	へいき	nonchalant; calm
盛大	せいだい	grand; prosperous; magnificent
送別会	そうべつかい	farewell party
去る	さる	to go away; to leave
開く	ひらく	to open (doors, business, eyes, etc.); to be open; be available; to be empty
下さる	くださる	give; favor with (honorific)
感謝	かんしゃ	gratitude; thanks
親切	しんせつ	kind; friendly
お世話	おせわ	help; aid; assistance
お世話になる	おせわになる	receive favor; be indebted; be grateful
お正月	おしょうがつ	New Year's Day
挨拶	あいさつ	greet; greeting
元旦	がんたん	New Year's Day
年賀状	ねんがじょう	New Year's card
初詣	はつもうで	one's first visit to a shrine in the New Year
神社	じんじゃ	Shinto shrine
お年玉	おとしだま	New Year's gift
福袋	ふくぶくろ	lucky-dip bag; grab bag
皮膚	ひふ	skin
制服	せいふく	uniform
着替える	きがえる	to change one's clothes
昔	むかし	(in the) old times; the old days
正しい	ただしい	correct; righteous; lawful
大統領	だいとうりょう	president
小学校	しょうがっこう	elementary school; primary school
視察	しさつ	inspection; observation
実際	じっさい	practicality; practical; reality
教壇	きょうだん	platform
悲劇的	ひげきてき	tragic
轢く	ひく	to run over
損失	そんしつ	loss (e.g. assets or profits)
夫妻	ふさい	husband and wife; Mr. and Mrs.
撃墜	げきつい	shooting down (aircraft)
理由	りゆう	reason; pretext; motive
事故	じこ	accident; incident
手短	てみじか	short; brief
表現	ひょうげん	expression; presentation; representation; notation (Mathematics)
以下	いか	not exceeding; and downward; the below-mentioned; the following; the rest
見落とす	みおとす	miss; fail to notice
助かる	たすかる	to be saved; to be rescued; to be helpful
英語版	えいごばん	English version; non-Japanese version
能力	のうりょく	ability; capacity
判断	はんだん	judgment; decision
力	ちから	strength; power
政府	せいふ	government; administration
奨学金	しょうがくきん	scholarship; fellowship
お皿	おさら	plate; dish
工場長	こうじょうちょう	factory (works) manager
大切にする	たいせつにする	to value; to treasure; to cherish; to think a great deal of
温かい	あたたかい	warm; mild; genial
住所	じゅうしょ	address; one's dwelling
餌	えさ	bait; feed
御神籤	おみくじ	written oracle
禿げ頭	はげあたま	bald head; baldness
禿げる	はげる	to lose hair
警備員	けいびいん	guard
発音	はつおん	pronunciation
代わり	かわり	substitution
人力車	じんりきしゃ	rickshaw; jinrikisha
直す	なおす	to repair; to heal; to fix; to replace
途中	とちゅう	on the way; midway; en route
泣く	なく	to cry; to weep
何時までも	いつまでも	forever
怒る	おこる, いかる	to get angry; to get mad; to tell someone off; to scold
動く	うごく	to move
足りる	たりる	to be sufficient; to be enough
名詞	めいし	noun
辞書形	じしょけい	dictionary form
否定形	ひていけい	negative form
幼稚園	ようちえん	kindergarten
中学校	ちゅうがっこう	junior high school; middle school
順番	じゅんばん	(in) order; taking turns
続き	つづき	continuation; sequel
続ける	つづける	to continue; to keep up; to keep on
投稿	とうこう	contribution; submission; posting (e.g. to an article, newsgroup or mailing list)
言語	げんご	language; speech
検出	けんしゅつ	detection; sense (e.g. sensor)
呼び出す	よびだす	call; page
受付	うけつけ	receptionist; information desk
飛び出す	とびだす	to jump out; to fly out; to dash out
通り	とおり	avenue; street
出社	しゅっしゃ	going to work (e.g. in the morning); coming to work
返る	かえる	be restored to; return to
変える	かえる	change
代える	かえる	substitute; use in place of
転ぶ	ころぶ	to fall down; to fall over
良さげ	よさげ	good appearing; (of) good appearance
嘘	うそ	lie
吐く	はく	to spit; to vomit; to belch; to confess; to tell (lies)
嘘を吐く	うそをつく	tell a lie
奢る	おごる	to treat (someone)
指輪	ゆびわ	ring
夫	おっと	husband
残る	のこる	to remain; to be left over
引っ越し	ひっこし	moving; changing residence
やっと	やっと	at last; finally
濡れる	ぬれる	to get wet
濡らす	ぬらす	wet; moisten
助ける	たすける	to help; to save
文書	ぶんしょ, もんじょ	document; writing; letter; paperwork; note; records; archives
全て	すべて	everything; all; the whole<br/>entirely; completely; wholly; all
提供	ていきょう	offer; provide; program sponsoring;  furnishing; provisioning; supply
感じ	かんじ	feeling; impression
感じる	かんじる	to feel; to sense; to experience
ぶらぶら	ぶらぶら	wander aimlessly; hang about
街	まち	town; neighborhood; street
高速	こうそく	high speed
道路	どうろ	road; street
高速道路	こうそくどうろ	freeway; highway
登録	とうろく	registration
喜び	よろこび	joy; happiness
お疲れ様	おつかれさま	thank you; many thanks; much appreciated; that's enough for today
世直し	よなおし	world reformation
失敗	しっぱい	failure; mistake
切り替える	きりかえる	to change; to exchange; to convert; to renew; to throw a switch; to replace
丁寧語	ていねいご	polite language (i.e. masu, desu, etc.)
尊敬語	そんけいご	honorific language
謙譲語	けんじょうご	humble language (e.g. itadaku)
鉄拳	てっけん	fist
楽しむ	たのしむ	to enjoy oneself
加える	くわえる	to add; to add up; to sum up; to append; to annex
付け加える	つけくわえる	to add one thing to another
言い出す	いいだす	begin to speak
初心者	しょしんしゃ	beginner
誤る	あやまる	make a mistake
在庫	ざいこ	inventory; stock; stockpile
処分	しょぶん	disposal; dealing (with a problem); punishment; putting down (e.g. animal)
兼ねる	かねる	to serve or combine two functions; to find difficult (unpleasant, awkward, painful)
可能	かのう	possible; potential
季節外れ	きせつはずれ	unseasonable; out of season
詐欺	さぎ	swindle; con game
目的	もくてき	purpose; goal; aim; objective; intention
販売	はんばい	sale; selling
除く	のぞく	to rid of; to exclude
基本	きほん	basis; foundation
的	てき	-like; typical
基本的	きほんてき	fundamental; standard; basic
中身	なかみ	content; interior
定価	ていか	fixed price
価値	かち	value; merit
確認	かくにん	confirmation
詳しい	くわしい	detailed; full; accurate<br/>knowing very well; well-acquainted; well-informed
合計	ごうけい	sum total
金額	きんがく	amount of money; sum
消費	しょうひ	consumption; spending
消費者	しょうひしゃ	consumer
蛇足	だそく	redundancy; superfluity; useless addition
習慣	しゅうかん	custom; habit
確か	たしか	certain; sure; definite; if I remember correctly
確かに	たしかに	certainly; definitely
必ず	かならず	without exception; necessarily; certainly
必ずしも	かならずしも	(not) always; (not) necessarily
限る	かぎる	to restrict; to limit; to confine
要は	ようは	in a word; in short
に取って	にとって	to; for; concerning; as far as ... is concerned; regarding
結局	けっきょく	after all; finally
無駄	むだ	no good; pointless
付く	づく	to become (a state, condition, etc.)
品物	しなもの	goods; article; thing
直訳	ちょくやく	literal translation; direct translation
意訳	いやく	free translation; liberal translation
翻訳	ほんやく	translation
冠詞	かんし	article
概念	がいねん	general idea; concept
主人	しゅじん	head of household; master; husband; shop owner
盗む	ぬすむ	steal; rob
犯人	はんにん	criminal; offender
遅れる	おくれる	to be late
お待ち遠様	おまちどおさま	I'm sorry to have kept you waiting
吃驚	びっくり, きっきょう	to be surprised; to be amazed; to be frightened; to be astonished; surprise
駄目	だめ	useless; no good; hopeless; no
怠い	だるい	sluggish; feel heavy; languid; dull
富士山	ふじさん	Mt. Fuji
原宿	はらじゅく	Harajuku (in Tokyo)
北海道	ほっかいどう	Hokkaido prefecture (of the 道 kind) and northernmost of the main islands in Japan
本州	ほんしゅう	Honshu (island)
如何	いかが	how; what
行き成り	いきなり	all of a sudden; without warning
頂ける	いただける	to receive (potential); to be pretty good; to be exquisite; to be approvable
致す	いたす	to do (humble)
塾	じゅく	coaching school; cramming school; juku
柔道	じゅうどう	judo
壁	かべ	wall; partition
畏まりました	かしこまりました	Certainly. (accepting an order or request)
可哀相	かわいそう	poor; pitiable
屹度	きっと	surely, certainly; sternly
交換	こうかん	exchange; bartering
呉れる	くれる	to give; to let one have; to do for one; to be given (from the receiver's point of view)
九州	きゅうしゅう	Kyushu (island)
御存知	ごぞんじ	knowing (honorific); acquaintance
お陰様で	おかげさまで	Thanks to God; thanks to you
沖縄	おきなわ	Okinawa (island)
御先	おさき	going before; the future
お先に失礼します	おさきにしつれいします	excuse me for leaving early (used when leaving a workplace)
理解	りかい	understanding; comprehension
参加	さんか	participation
札幌	さっぽろ	Sapporo (city)
更に	さらに	furthermore; still more
刺身	さしみ	sashimi (sliced raw fish)
仕舞う	しまう	to finish; to put away
信じられない！	しんじられない！	Unbelievable!
新鮮	しんせん	fresh
都庁	とちょう	Tokyo Government Office
所で	ところで	by the way
兎に角	とにかく	anyhow; at any rate; anyway; somehow or other; generally speaking; in any case
取りあえず	とりあえず	at once; first of all; for the time being; for now
積もり	つもり	intention; purpose
野球	やきゅう	baseball
野球場	やきゅうじょう	baseball stadium; baseball field
前夜	ぜんや	last night; the previous night
予定	よてい	plan; schedule
宜しく	よろしく	well; properly; suitably; best regards
怪我	けが	injury
蹴る	ける	kick
さっき	さっき	some time ago; a little while ago
上る	のぼる	go up
下りる	おりる	go down; come down
儘	まま, まんま	as it is; as one likes; because; as; condition; state
熱	ねつ	heat; fever
似合う	にあう	to suit; to match well
貯金	ちょきん	savings; deposit
増える	ふえる	to increase; to accrue
丁寧	ていねい	polite; courteous; careful
歯医者	はいしゃ	dentist
咳	せき	cough
怪我をする	けがをする	to get injured
火傷	やけど	burn
火傷する	やけどする	get burned
骨	ほね	bone; frame; spirit
骨折	こっせつ	fracture; broken bone
痒い	かゆい	itchy
診察する	しんさつする	to examine
入院する	にゅういんする	to be hospitalized
検札	けんさつ	ticket check
手術	しゅじゅつ	surgical operation
手術する	しゅじゅつする	to have an operation
治る	なおる	to be cured; to get well; to be healed; to get mended
病気が治る	びょうきがなおる	recover from (sickness), get well
退院	たいいん	discharge from a hospital
退院する	たいいんする	to get out of the hospital
薬局	やっきょく	drugstore; pharmacy
錠剤	じょうざい	pill; lozenge; tablet
粉	こな,こ	powder; flour
粉薬	こなぐすり	powder medicine
塗る	ぬる	spread on; paint
塗り薬	ぬりぐすり	liniment; ointment; salve
光栄	こうえい	honour; honor; glory; privilege
存じ	ぞんじ	knowing
存じる	ぞんじる	think; know (humble form)
訂正	ていせい	correction; amendment
嬉しい	うれしい	happy; glad
気を悪くする	きをわるくする	to take offense (at); to take offence (at); to feel hurt (by)
誉める	ほめる	to praise
情報	じょうほう	information
出会う	であう	to run into (someone); to meet (someone) by chance
文化	ぶんか	culture; civilization
人生	じんせい	human life; life
起こる	おこる	to occur; to happen
購入	こうにゅう	purchase
購入する	こうにゅうする	purchase
甘える	あまえる	depend on; take advantage of
ぐだぐだ	ぐだぐだ	exhausted; tired; withered; worn out; boiling until shapeless or mushy; wordily
きちんと	きちんと	properly; neatly
伝わる	つたわる	be transmitted; be handed down
一般に	いっぱんに	generally; in general
取り急ぎ	とりいそぎ	in haste
部分	ぶぶん	part; section
頂く	いただく	to receive; to eat; to drink (humble)
消化	しょうか	digestion; consumption
消化する	しょうかする	digest
動画	どうが	animation; motion picture; moving image; video; in-betweening (in anime)
改めて	あらためて	once again
返信	へんしん	reply
件	けん	matter; case; item; affair; subject;<br/>counter for cases, matters, etc.
母語	ぼご	mother tongue; native language
存在	そんざい	existence; being
心象	しんしょう	impression
学習	がくしゅう	study; learning; learn
遠慮	えんりょ	reserve; hesitation; forethought
サボる	サボる	cut classes
記録	きろく	record; documentation
残す	のこす	to leave; to reserve; to leave undone
考察	こうさつ	consideration; inquiry; enquiry
口語	こうご	spoken language; literary style based on (modern) spoken language
堅い	かたい	hard; solid; stiff; strong; safe; stubborn
実感	じっかん	true sense; realization
思考	しこう	thought; consideration; thinking
入れ替わる	いれかわる	to change places; to relieve one another
入れ替え	いれかえ	replacement; substitution; change
入れ換える	いれかえる	to replace; to substitute; to shift; to change places
のんびり	のんびり	carefree; at leisure
不味い	まずい	awful; troublesome; unappetizing
顔写真	かおじゃしん	photographic portrait
不躾	ぶしつけ	ill-breeding; impoliteness; bad manners
斜視	しゃし	squint; strabismus
髭	ひげ	moustache; beard
本人	ほんにん	the person himself; the said person
特に	とくに	particularly; especially; specifically
当たり	あたり	hit; success
それ故に	それゆえに	and so ...; consequently; wherefore; thus
活用	かつよう	utilization; conjugation
話者	わしゃ	narrator; speaker
数	かず	number; amount
大体	だいたい	generally; mostly; nearly; approximately
東京都	とうきょうと	Tokyo prefecture (of the 都 kind or metropolitan area)
本名	ほんみょう	one's real name
値	あたい	value; worth
純	じゅん	pure; innocent; chaste
通	つう	connoisseur; authority; counter for letters, notes, documents, etc.
入力	にゅうりょく	input; (data) entry
登場	とうじょう	appearance on stage; appearance
人物	じんぶつ	character; person
登場人物	とうじょうじんぶつ	characters in a play or novel
夫婦	ふうふ	husband and wife; married couple
勝手	かって	selfish; self-centered
略す	りゃくす	abbreviate; omit
間	ま	duration of time; period; pause; room
表情	ひょうじょう	facial expression
相手	あいて	partner; other person; opponent (game)
想像	そうぞう	imagination
渋い	しぶい	bitter; astringent
直面	ちょくめん	confrontation; to face; to confront; to encounter
打つかる	ぶつかる	hit; bump into
単語表	たんごひょう	vocabulary word list
馬鹿	ばか	fool; nonsense
拙い	つたない, まずい	poor-quality; shoddy; crude; unskillful; inexpert; maladroit; inept; foolish
写す	うつす	to copy; to reproduce; to transcribe; to describe
書き写す	かきうつす	to transcribe
補足	ほそく	supplement; complement
微妙	びみょう	subtle; delicate
一まず	ひとまず	first of all
流す	ながす	to let flow; to set adrift
風貌	ふうぼう	looks; appearance
物言い	ものいい	manner of speaking; verbal argument; objection; rumor; rumour
奥深い	おくふかい, おくぶかい	profound; deep
内面	ないめん	inside; interior
にじみ出る	にじみでる	to exude; to ooze; to seep out
味わい	あじわい	flavour; flavor; meaning; significance
深さ	ふかさ	depth; profundity
褒め言葉	ほめことば	words of praise; eulogy
に対して	にたいして	towards; against; regarding; in contrast with
醸し出す	かもしだす	to engender; to bring about
換える	かえる	exchange; convert
言い換える	いいかえる	express in different words; paraphrase
喜ぶ	よろこぶ	be happy; be delighted
お世辞	おせじ	compliment; flattery
具合	ぐあい	condition; health
完全	かんぜん	perfect; complete
年齢	ねんれい	age; years
年齢層	ねんれいそう	age group; age bracket
驚く	おどろく	be surprised; be startled
お互い	おたがい	mutual; one another
恐らく	おそらく	perhaps; likely; probably; I dare say
汲む	くむ	collect; scoop up
汲み取る	くみとる	to scoop out; to pump out; to understand; to surmise
後者	こうしゃ	the latter
前者	ぜんしゃ	the former
文字通り	もじどおり	literal; literally
現す	あらわす	to show; to reveal
旅行業者	りょこうぎょうしゃ	travel agent
意思	いし	intention; purpose
医学	いがく	medical science; medicine
入院	にゅういん	hospitalization
集まる	あつまる	to gather; to collect; to get together
欧州連合	おうしゅうれんごう	European Union; EU
移民	いみん	emigration, immigration; emigrant, immigrant
手助け	てだすけ	a help
滞在	たいざい	stay (somewhere)
政治屋	せいじや	politician (esp. one who works only for their own personal gain)
政治家	せいじか	politician
国境	こっきょう	national or state border
役	やく	use; service; role
役に立つ	やくにたつ	be useful; be helpful
真	しん	truth; true; real
真ん中	まんなか	center; middle
運ぶ	はこぶ	to carry; to transport; to move
沸かす	わかす	to boil; to heat; to excite
お湯	おゆ	hot water
腕	うで	arm
天才	てんさい	genius
解く	とく	to untie; to solve; to work out; to dispel; to clear up
成績	せいせき	results; record; grades
気が合う	きがあう	to get along (with someone)
折角	せっかく	with much trouble; specially
性格	せいかく	character; personality
筈	はず	expectation that something took place, will take place or was in some state
紹介	しょうかい	introduction; presentation; referral; listing
復旧	ふっきゅう, ふくきゅう	restoration; restitution; rehabilitation
作業	さぎょう	work; operation
復旧作業	ふっきゅうさぎょう	repair work
具体的	ぐたいてき	concrete; tangible; definite; specific
失敗する	しっぱいする	fail; be unsuccessful
再起動	さいきどう	restart; reboot
状態	じょうたい	current status; condition; situation; circumstances
出荷	しゅっか	shipping; dispatch
戻す	もどす	to return; to give back
用	よう	task; things to do
前後	ぜんご	before and after; front and behind; order
逆	ぎゃく	opposite; reverse; inverse
対する	たいする	face; be in response to
に対する	にたいする	regarding; in; to; towards; with regards to
賞味	しょうみ	relish; gusto; appreciation
期限	きげん	time limit; term
賞味期限	しょうみきげん	best if eaten by this date
袋	ふくろ	bag; sack
記載	きさい	record; statement; description; mention; listing; registration; booking; entry
記載する	きさいする	to record; to print; to mention
居る	おる	be present; stay (humble)
開封	かいふう	unsealed letter; breaking the seal
風味	ふうみ	taste; flavor; flavour
損なう	そこなう	to harm; to hurt; to injure; to damage; to fail in doing
早めに	はやめに	ahead of time; earlier (than usual)
召し	めし	summons; call
上がる	あがる	rise; go up; improve; be completed; give profit/income
召し上がる	めしあがる	eat; drink (honorific)
移行	いこう	switching over to; migration; transition
支援	しえん	support; backing
抱える	かかえる	to hold or carry under or in the arms; to have (esp. problems, debts, etc.)
因って	よって	therefore; consequently; accordingly; because of
異なる	ことなる	to differ; to vary; to disagree
安全	あんぜん	safety; security
保障	ほしょう	guarantee; security
関連	かんれん	connection; relation
法案	ほうあん	bill (law)
安全保障	あんぜんほしょう	security guarantee (e.g. military security, network security, etc.)
安保	あんぽ	US-Japan Security Treaty; safety; security
議論	ぎろん	argument; discussion
副	とりわけ	especially; above all; inter alia; among others
集団	しゅうだん	group; mass
自衛	じえい	self-defense
集団的自衛権	しゅうだんてきじえいけん	right to collective defense; right to collective defence
関心事	かんしんじ	matter of concern and interest
気にする	きにする	worry; be concerned; care about
訳	わけ	reason; cause
自信	じしん	self-confidence
無し	なし	without
拝啓	はいけい	Dear (opening phrase of a letter)
敬具	けいぐ	Yours sincerely (closing of a letter)
結ぶ	むすぶ	to tie; to join
畏まる	かしこまる	to obey respectfully; to humble oneself
以外	いがい	with the exception of
表記	ひょうき	writing (something); giving an address; declaration; inscribing on the face of
組	くみ	set (of items); group (of people)
立てる	たてる	stand; set up; establish
組み立てる	くみたてる	build; set up; construct
準備	じゅんび	preparation; setup; arrangements
録画	ろくが	videotaping
片付ける	かたづける	to put in order; to tidy up; to dispose of; to do away with
騒ぐ	さわぐ	to make a racket; to mess around; to make a fuss
済む	すむ	to finish; to end; to be completed
構う	かまう	to mind; to care about; to be concerned about
長旅	ながたび	long trip
首都	しゅと	capital
遅刻	ちこく	tardiness; lateness
寝坊	ねぼう	late riser; oversleeping
どうせ	どうせ	anyway; at all; no matter what
飲食物	いんしょくぶつ	food and drink
祈る	いのる	pray; wish for
夢	ゆめ	dream
彼岸	ひがん	the equinoctial week
墓地	ぼち	graveyard; cemetery
